legalName,altraDenominazione,dataAltraDenominazione,localType,nome,cognome,intestazione,authorizedFrom,existenceRangeFromDate,existenceRangeToDate,dataNascita,dataMorte,placeRole,placeEntry,otherPlaceRole,otherPlaceEntry,professione,legalStatus,tipologiaEnte,genere,relazione_complesso
Anzoletti,,,person,Luisa,Anzoletti,"Anzoletti, Luisa, (Trento 1863 - Trento 1925)",SIUSA,,,1863 apr 09,1925 set 19,luogo di nascita,Trento,luogo di nascita,Trento,,,,femminile,ca-415059
Luisa,,,,,,,,,,,,,,luogo di morte,Trento,,,,,
"Anzoletti, Luisa, (Trento 1863 - Trento 1925)",,,,,,,,,,,,,,,,,,,,
Bonelli,,,person,Antonietta,Bonelli,"Bonelli, Antonietta, (Trento 1866 - Trento 1963)",SIUSA,,,1866 gen 17,1963 dic 31,luogo di nascita,Trento,luogo di nascita,Trento,,,,femminile,ca-415169
Antonietta,,,,,,,,,,,,,,luogo di morte,Trento,,,,,
"Bonelli, Antonietta, (Trento 1866 - Trento 1963)",,,,,,,,,,,,,,,,,,,,
Mazzi Kargruber,,,person,Maria,Mazzi Kargruber,"Mazzi Kargruber, Maria, (Riva del Garda 1874 - Trento 1968)",SIUSA,,,1874 gen 16,1968 giu 29,luogo di nascita,Riva del Garda (Trento),luogo di nascita,Riva del Garda (Trento),,,,femminile,ca-415173
Maria,,,,,,,,,,,,,,luogo di morte,Trento,,,,,
"Mazzi Kargruber, Maria, (Riva del Garda 1874 - Trento 1968)",,,,,,,,,,,,,,,,,,,,
Turco,,,person,Giulia,Turco,"Turco Lazzari, Giulia, (Trento 1948 - Trento 1912)",SIUSA,,,1848 apr 01,1912 ago 03,luogo di nascita,Trento,luogo di nascita,Trento,,,,femminile,ca-415174
Giulia,,,,,,,,,,,,,,luogo di morte,Trento,,,,,
"Turco Lazzari, Giulia, (Trento 1948 - Trento 1912)",,,,,,,,,,,,,,,,,,,,
Opera nazionale di assistenza all'infanzia delle regioni di confine - ONAIRC di Trento,Opera nazionale di assistenza all'Italia redenta - ONAIR,1919-1960,corporateBody,,,"Opera nazionale di assistenza all'infanzia delle regioni di confine - ONAIRC di Trento, Trento, 1919 - 1977",SIUSA,1919,1977,,,Sede,Trento,Sede,Trento,,pubblico,ente di assistenza e beneficenza,,ca-415334
"Opera nazionale di assistenza all'infanzia delle regioni di confine - ONAIRC di Trento, Trento, 1919 - 1977",,,,,,,,,,,,,,,,,,,,
Opera nazionale di assistenza all'Italia redenta - ONAIR,,,,,,,,,,,,,,,,,,,,
Angelini,,,person,Maria Carolina,Angelini,"Angelini, Maria Carolina, (Godiasco 1869 - Godiasco 1942)",SIUSA,,,1869 giu 26,1942 gen 30,luogo di nascita,Godiasco (Pavia),luogo di nascita,Godiasco (Pavia),,,,femminile,ca-415282
Maria Carolina,,,,,,,,,,,,,,luogo di morte,Godiasco (Pavia),,,,,
Marietta,,,,,,,,,,,,,,,,,,,,
"Angelini, Maria Carolina, (Godiasco 1869 - Godiasco 1942)",,,,,,,,,,,,,,,,,,,,
"Angelini, Marietta, (Godiasco 1869 - Godiasco 1942)",,,,,,,,,,,,,,,,,,,,
Angelini,,,person,Maria Carmela,Angelini,"Angelini, Maria Carmela, (Godiasco 1882 - Godiasco 1926)",SIUSA,,,1882 lug 05,1926 mar 10,luogo di nascita,Godiasco (Pavia),luogo di nascita,Godiasco (Pavia),,,,femminile,ca-415282
Maria Carmela,,,,,,,,,,,,,,luogo di morte,Godiasco (Pavia),,,,,
Nina,,,,,,,,,,,,,,,,,,,,
"Angelini, Maria Carmela, (Godiasco 1882 - Godiasco 1926)",,,,,,,,,,,,,,,,,,,,
"Angelini, Nina, (Godiasco 1882 - Godiasco 1926)",,,,,,,,,,,,,,,,,,,,
Opera nazionale di assistenza all'infanzia delle regioni di confine - ONAIRC di Bolzano,Opera nazionale di assistenza all'Italia redenta - ONAIR di Bolzano,1928 - 1960,corporateBody,,,"Opera nazionale di assistenza all'infanzia delle regioni di confine - ONAIRC di Bolzano,  Bolzano, 1928 - 1977",SIUSA,1928,1977,,,Sede,Bolzano,Sede,Bolzano,,pubblico,ente pubblico territoriale,,ca-415334
"Opera nazionale di assistenza all'infanzia delle regioni di confine - ONAIRC di Bolzano,  Bolzano, 1928 - 1977",,,,,,,,,,,,,,,,,,,,
Opera nazionale di assistenza all'Italia redenta - ONAIR di Bolzano,,,,,,,,,,,,,,,,,,,,
Censi,,,person,Giannina,Censi,"Censi, Giannina, danzatrice, coreografa, (Milano 1913 - Voghera 1995)",SIUSA,,,1913 gen 25,1995 mag 05,luogo di nascita,Milano,luogo di nascita,Milano,"Danzatrice, coreografa",,,femminile,ca-415372
